Breed,Affectionate With Family,Good With Young Children,Good With Other Dogs,Shedding Level,Coat Grooming Frequency,Drooling Level,Openness To Strangers,Playfulness Level,Watchdog/Protective Nature,Adaptability Level,Trainability Level,Energy Level,Barking Level,Mental Stimulation Needs,Coat Type,Coat Length,Popularity Tier
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,6,4
Popularity Tier,,,,,,,,,,,,,,,,,
Affenpinscher,3,3,3,3,3,1,5,3,3,4,3,3,3,3,Wiry,Short; Medium,Not Popular
Afghan Hound,3,3,3,1,4,1,3,3,3,3,1,4,3,3,Silky,Long,Not Popular
Airedale Terrier,3,3,3,1,3,1,3,3,5,3,3,3,3,3,Wiry,Short; Medium,Somewhat Popular
Akita,3,3,1,3,3,1,2,3,5,3,3,4,2,3,Double,Medium,Somewhat Popular
Alaskan Malamute,3,3,3,3,3,1,3,3,4,3,5,4,3,3,Double,Medium,Somewhat Popular
American English Coonhound,3,3,5,2,1,1,3,3,3,3,3,4,4,3,Smooth,Short,Not Popular
American Eskimo Dog,5,5,3,3,3,1,5,3,3,4,4,4,3,3,Double,Medium,Not Popular
American Foxhound,3,5,5,3,1,1,3,3,3,3,3,4,5,3,Smooth,Short,Not Popular
American Hairless Terrier,5,5,3,1,1,1,3,3,3,5,5,3,3,3,Hairless,Short,Not Popular
American Staffordshire Terrier,5,3,3,2,1,1,4,3,5,3,3,3,3,3,Smooth,Short,Somewhat Popular
American Water Spaniel,3,3,3,1,3,1,3,3,3,3,5,3,3,3,Double; Curly,Medium,Not Popular
Anatolian Shepherd Dog,1,3,3,3,2,1,1,3,5,3,2,3,3,3,Smooth,Short,Somewhat Popular
Australian Cattle Dog,3,3,3,3,1,1,3,3,4,3,4,5,1,4,Smooth; Double,Short,Somewhat Popular
Australian Shepherd,3,5,3,3,2,1,3,4,3,3,5,5,3,5,Double,Medium,Very Popular
Australian Terrier,4,5,3,1,2,1,3,3,4,4,4,3,3,3,Rough; Double,Medium,Not Popular
Azawakh,3,3,3,2,2,1,1,3,3,3,2,3,1,3,Smooth,Short,Not Popular
Barbet,4,3,3,1,5,1,3,3,3,3,4,3,3,3,Curly; Wavy,Medium; Long,Not Popular
Basenji,3,3,3,2,1,1,3,3,3,3,2,4,1,4,Smooth,Short,Somewhat Popular
Basset Hound,3,5,5,2,3,4,3,3,3,3,3,2,4,3,Smooth,Short,Popular
Beagle,3,5,5,3,2,1,3,4,2,4,3,4,4,4,Smooth,Short,Very Popular
Bearded Collie,4,5,5,3,4,1,4,4,3,4,3,4,5,3,Silky,Long,Not Popular
Beauceron,3,3,3,4,3,1,2,3,4,3,3,5,3,3,Smooth; Double,Short,Not Popular
Bedlington Terrier,3,3,3,1,3,1,3,3,4,3,3,4,3,3,Curly,Medium,Not Popular
Belgian Laekenoi,3,3,3,3,2,1,3,3,4,3,5,4,3,4,Wiry; Rough,Medium,Not Popular
Belgian Malinoi,3,3,3,3,2,1,3,3,4,3,5,4,3,4,Smooth,Short,Popular
Belgian Sheepdog,3,3,3,3,2,1,3,3,4,3,5,4,3,4,Double,Medium,Not Popular
Belgian Tervuren,3,3,3,3,2,1,3,3,4,3,5,4,3,4,Double,Medium,Not Popular
Bergamasco Sheepdog,3,3,3,1,1,2,3,3,4,3,3,3,1,3,Corded,Long,Not Popular
Berger Picard,3,3,3,3,1,1,3,3,4,3,4,4,2,4,Wiry,Medium,Not Popular
Bernese Mountain Dog,5,5,5,5,3,3,4,4,3,4,4,4,3,3,Double,Medium,Very Popular
Bichon Frise,5,5,5,1,5,1,5,4,2,4,4,4,3,3,Double; Curly,Long,Popular
Biewer Terrier,5,3,5,1,3,1,3,4,2,3,3,3,3,3,Silky,Long,Somewhat Popular
Black Russian Terrier,3,3,3,3,4,3,2,3,5,4,4,4,3,4,Double; Curly,Medium; Long,Not Popular
Black and Tan Coonhound,4,5,5,3,2,3,3,3,2,4,3,3,4,3,Smooth,Short,Not Popular
Bloodhound,4,3,3,3,2,5,3,3,2,3,4,3,5,3,Smooth,Short,Somewhat Popular
Bluetick Coonhound,3,3,5,3,2,2,3,3,2,3,4,4,4,3,Smooth,Short,Not Popular
Boerboel,5,4,2,3,2,3,3,3,5,3,4,3,3,4,Smooth,Short,Not Popular
Border Collie,5,3,3,3,3,1,4,5,3,5,5,5,4,5,Double; Wavy,Medium,Popular
Border Terrier,4,5,3,2,2,1,4,4,3,4,4,3,3,3,Wiry,Short,Somewhat Popular
Borzoi,3,3,3,3,2,1,3,3,3,3,2,4,2,4,Curly; Silky,Medium,Not Popular
Boston Terrier,5,5,4,2,2,1,5,5,3,3,4,4,2,3,Smooth,Short,Very Popular
Bouvier des Flandre,3,3,3,3,4,2,3,3,4,3,4,4,3,3,Rough; Double,Medium,Somewhat Popular
Boxer,4,5,3,2,2,3,4,4,4,3,4,4,3,4,Smooth,Short,Very Popular
Boykin Spaniel,3,5,5,3,3,1,3,4,3,4,4,4,3,3,Double; Wavy,Medium,Somewhat Popular
Bracco Italiano,3,4,4,2,1,2,3,3,3,3,5,4,2,3,Smooth,Short,Not Popular
Briard,3,3,3,1,4,2,3,3,4,3,3,3,1,3,Double; Wavy,Long,Not Popular
Brittany,3,4,4,3,3,1,3,4,3,3,5,5,3,4,Double; Wavy,Short,Popular
Brussels Griffon,4,3,3,3,3,1,4,4,3,4,4,3,4,3,Wiry; Smooth; Double,Short; Medium,Somewhat Popular
Bull Terrier,4,3,1,3,2,1,4,4,3,3,3,4,3,4,Smooth,Short,Somewhat Popular
