Breed,Family Life,Physical,Social,Personality,Average Rank,Popularity Tier,AKC Group
0,1,1,1,1,0,0,0
Affenpinscher,3.0,2.3333333333333335,3.75,3.0,151.23076923076923,Low Popularity,Toy Group
Afghan Hound,3.0,2.0,3.0,2.75,108.92307692307692,Medium Popularity,Hound Group
Airedale Terrier,3.0,1.6666666666666667,3.5,3.0,60.53846153846154,High Popularity,Terrier Group
Akita,2.3333333333333335,2.3333333333333335,3.25,3.0,50.61538461538461,High Popularity,Working Group
Alaskan Malamute,3.0,2.3333333333333335,3.25,3.75,64.38461538461539,High Popularity,Working Group
American English Coonhound,3.6666666666666665,1.3333333333333333,3.0,3.5,173.07692307692307,Low Popularity,Hound Group
American Eskimo Dog,4.333333333333333,2.3333333333333335,3.75,3.5,120.38461538461539,Medium Popularity,Non-Sporting Group
American Foxhound,4.333333333333333,1.6666666666666667,3.0,3.75,187.3846153846154,Low Popularity,Hound Group
American Hairless Terrier,4.333333333333333,1.0,3.5,3.5,122.3,Medium Popularity,Terrier Group
American Staffordshire Terrier,3.6666666666666665,1.3333333333333333,3.75,3.0,83.92307692307692,Medium Popularity,Terrier Group
American Water Spaniel,3.0,1.6666666666666667,3.0,3.5,162.84615384615384,Low Popularity,Sporting Group
Anatolian Shepherd Dog,2.3333333333333335,2.0,3.0,2.75,87.92307692307692,Medium Popularity,Working Group
Australian Cattle Dog,3.0,1.6666666666666667,3.25,3.5,53.07692307692308,High Popularity,Herding Group
Australian Shepherd,3.6666666666666665,2.0,3.25,4.5,14.615384615384615,High Popularity,Herding Group
Australian Terrier,4.0,1.3333333333333333,3.5,3.25,140.6153846153846,Low Popularity,Terrier Group
Azawakh,3.0,1.6666666666666667,2.5,2.25,192.42857142857142,Low Popularity,Hound Group
Barbet,3.3333333333333335,2.3333333333333335,3.0,3.25,134.57142857142858,Low Popularity,Sporting Group
Basenji,3.0,1.3333333333333333,3.0,2.75,86.3076923076923,Medium Popularity,Hound Group
Basset Hound,4.333333333333333,3.0,3.0,3.0,37.30769230769231,High Popularity,Hound Group
Beagle,4.333333333333333,2.0,3.25,3.75,6.3076923076923075,High Popularity,Hound Group
Bearded Collie,4.666666666666667,2.6666666666666665,3.75,3.75,130.30769230769232,Medium Popularity,Herding Group
Beauceron,3.0,2.6666666666666665,3.0,3.5,125.46153846153847,Medium Popularity,Herding Group
Bedlington Terrier,3.0,1.6666666666666667,3.25,3.25,143.23076923076923,Low Popularity,Terrier Group
Belgian Laekenoi,3.0,2.0,3.25,4.0,194.0,Low Popularity,Herding Group
Belgian Malinoi,3.0,2.0,3.25,4.0,42.23076923076923,High Popularity,Herding Group
Belgian Sheepdog,3.0,2.0,3.25,4.0,123.84615384615384,Medium Popularity,Herding Group
