Breed,Affectionate With Family,Good With Young Children,Good With Other Dogs,Shedding Level,Coat Grooming Frequency,Drooling Level,Openness To Strangers,Playfulness Level,Watchdog/Protective Nature,Adaptability Level,Trainability Level,Energy Level,Barking Level,Mental Stimulation Needs,Average Rank,Popularity Tier,AKC Group
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
Affenpinscher,3,3,3,3,3,1,5,3,3,4,3,3,3,3,151.23076923076923,Low Popularity,Toy Group
Afghan Hound,3,3,3,1,4,1,3,3,3,3,1,4,3,3,108.92307692307692,Medium Popularity,Hound Group
Airedale Terrier,3,3,3,1,3,1,3,3,5,3,3,3,3,3,60.53846153846154,Medium Popularity,Terrier Group
Akita,3,3,1,3,3,1,2,3,5,3,3,4,2,3,50.61538461538461,Medium Popularity,Working Group
Alaskan Malamute,3,3,3,3,3,1,3,3,4,3,5,4,3,3,64.38461538461539,Medium Popularity,Working Group
American English Coonhound,3,3,5,2,1,1,3,3,3,3,3,4,4,3,173.07692307692307,Low Popularity,Hound Group
American Eskimo Dog,5,5,3,3,3,1,5,3,3,4,4,4,3,3,120.38461538461539,Medium Popularity,Non-Sporting Group
American Foxhound,3,5,5,3,1,1,3,3,3,3,3,4,5,3,187.3846153846154,Low Popularity,Hound Group
American Hairless Terrier,5,5,3,1,1,1,3,3,3,5,5,3,3,3,122.3,Medium Popularity,Terrier Group
American Staffordshire Terrier,5,3,3,2,1,1,4,3,5,3,3,3,3,3,83.92307692307692,Medium Popularity,Terrier Group
American Water Spaniel,3,3,3,1,3,1,3,3,3,3,5,3,3,3,162.84615384615384,Low Popularity,Sporting Group
Anatolian Shepherd Dog,1,3,3,3,2,1,1,3,5,3,2,3,3,3,87.92307692307692,Medium Popularity,Working Group
Australian Cattle Dog,3,3,3,3,1,1,3,3,4,3,4,5,1,4,53.07692307692308,Medium Popularity,Herding Group
Australian Shepherd,3,5,3,3,2,1,3,4,3,3,5,5,3,5,14.615384615384615,High Popularity,Herding Group
Australian Terrier,4,5,3,1,2,1,3,3,4,4,4,3,3,3,140.6153846153846,Low Popularity,Terrier Group
Azawakh,3,3,3,2,2,1,1,3,3,3,2,3,1,3,192.42857142857142,Low Popularity,Hound Group
Barbet,4,3,3,1,5,1,3,3,3,3,4,3,3,3,134.57142857142858,Low Popularity,Sporting Group
Basenji,3,3,3,2,1,1,3,3,3,3,2,4,1,4,86.3076923076923,Medium Popularity,Hound Group
Basset Hound,3,5,5,2,3,4,3,3,3,3,3,2,4,3,37.30769230769231,High Popularity,Hound Group
Beagle,3,5,5,3,2,1,3,4,2,4,3,4,4,4,6.3076923076923075,High Popularity,Hound Group
Bearded Collie,4,5,5,3,4,1,4,4,3,4,3,4,5,3,130.30769230769232,Low Popularity,Herding Group
Beauceron,3,3,3,4,3,1,2,3,4,3,3,5,3,3,125.46153846153847,Low Popularity,Herding Group
Bedlington Terrier,3,3,3,1,3,1,3,3,4,3,3,4,3,3,143.23076923076923,Low Popularity,Terrier Group
Belgian Laekenoi,3,3,3,3,2,1,3,3,4,3,5,4,3,4,194.0,Low Popularity,Herding Group
