Breed,Family Life,Physical,Social,Personality,Coat Type,Coat Length,Popularity Tier
-1,0,0,0,0,28,6,3
Popularity Tier,,,,,,,
Affenpinscher,3.0,2.3333333333333335,3.75,3.0,Wiry,Short; Medium,Low Popularity
Afghan Hound,3.0,2.0,3.0,2.75,Silky,Long,Medium Popularity
Airedale Terrier,3.0,1.6666666666666667,3.5,3.0,Wiry,Short; Medium,High Popularity
Akita,2.3333333333333335,2.3333333333333335,3.25,3.0,Double,Medium,High Popularity
Alaskan Malamute,3.0,2.3333333333333335,3.25,3.75,Double,Medium,High Popularity
American English Coonhound,3.6666666666666665,1.3333333333333333,3.0,3.5,Smooth,Short,Low Popularity
American Eskimo Dog,4.333333333333333,2.3333333333333335,3.75,3.5,Double,Medium,Medium Popularity
American Foxhound,4.333333333333333,1.6666666666666667,3.0,3.75,Smooth,Short,Low Popularity
American Hairless Terrier,4.333333333333333,1.0,3.5,3.5,Hairless,Short,Medium Popularity
American Staffordshire Terrier,3.6666666666666665,1.3333333333333333,3.75,3.0,Smooth,Short,Medium Popularity
American Water Spaniel,3.0,1.6666666666666667,3.0,3.5,Double; Curly,Medium,Low Popularity
Anatolian Shepherd Dog,2.3333333333333335,2.0,3.0,2.75,Smooth,Short,Medium Popularity
Australian Cattle Dog,3.0,1.6666666666666667,3.25,3.5,Smooth; Double,Short,High Popularity
Australian Shepherd,3.6666666666666665,2.0,3.25,4.5,Double,Medium,High Popularity
Australian Terrier,4.0,1.3333333333333333,3.5,3.25,Rough; Double,Medium,Low Popularity
Azawakh,3.0,1.6666666666666667,2.5,2.25,Smooth,Short,Low Popularity
Barbet,3.3333333333333335,2.3333333333333335,3.0,3.25,Curly; Wavy,Medium; Long,Low Popularity
Basenji,3.0,1.3333333333333333,3.0,2.75,Smooth,Short,Medium Popularity
Basset Hound,4.333333333333333,3.0,3.0,3.0,Smooth,Short,High Popularity
Beagle,4.333333333333333,2.0,3.25,3.75,Smooth,Short,High Popularity
Bearded Collie,4.666666666666667,2.6666666666666665,3.75,3.75,Silky,Long,Medium Popularity
Beauceron,3.0,2.6666666666666665,3.0,3.5,Smooth; Double,Short,Medium Popularity
Bedlington Terrier,3.0,1.6666666666666667,3.25,3.25,Curly,Medium,Low Popularity
Belgian Laekenoi,3.0,2.0,3.25,4.0,Wiry; Rough,Medium,Low Popularity
Belgian Malinoi,3.0,2.0,3.25,4.0,Smooth,Short,High Popularity
Belgian Sheepdog,3.0,2.0,3.25,4.0,Double,Medium,Medium Popularity
Belgian Tervuren,3.0,2.0,3.25,4.0,Double,Medium,Medium Popularity
Bergamasco Sheepdog,3.0,1.3333333333333333,3.25,2.5,Corded,Long,Low Popularity
Berger Picard,3.0,1.6666666666666667,3.25,3.5,Wiry,Medium,Low Popularity
Bernese Mountain Dog,5.0,3.6666666666666665,3.75,3.5,Double,Medium,High Popularity
Bichon Frise,5.0,2.3333333333333335,3.75,3.5,Double; Curly,Long,High Popularity
Biewer Terrier,4.333333333333333,1.6666666666666667,3.0,3.0,Silky,Long,Medium Popularity
Black Russian Terrier,3.0,3.3333333333333335,3.5,3.75,Double; Curly,Medium; Long,Medium Popularity
Black and Tan Coonhound,4.666666666666667,2.6666666666666665,3.0,3.25,Smooth,Short,Medium Popularity
Bloodhound,3.3333333333333335,3.3333333333333335,2.75,3.75,Smooth,Short,High Popularity
Bluetick Coonhound,3.6666666666666665,2.3333333333333335,2.75,3.75,Smooth,Short,Medium Popularity
Boerboel,3.6666666666666665,2.6666666666666665,3.5,3.5,Smooth,Short,Medium Popularity
Border Collie,3.6666666666666665,2.3333333333333335,4.25,4.75,Double; Wavy,Medium,High Popularity
Border Terrier,4.0,1.6666666666666667,3.75,3.25,Wiry,Short,Medium Popularity
Borzoi,3.0,2.0,3.0,3.0,Curly; Silky,Medium,Medium Popularity
Boston Terrier,4.666666666666667,1.6666666666666667,4.0,3.25,Smooth,Short,High Popularity
Bouvier des Flandre,3.0,3.0,3.25,3.5,Rough; Double,Medium,Medium Popularity
Boxer,4.0,2.3333333333333335,3.75,3.75,Smooth,Short,High Popularity
Boykin Spaniel,4.333333333333333,2.3333333333333335,3.5,3.5,Double; Wavy,Medium,Medium Popularity
Bracco Italiano,3.6666666666666665,1.6666666666666667,3.0,3.5,Smooth,Short,Low Popularity
Briard,3.0,2.3333333333333335,3.25,2.5,Double; Wavy,Long,Low Popularity
Brittany,3.6666666666666665,2.3333333333333335,3.25,4.25,Double; Wavy,Short,High Popularity
Brussels Griffon,3.3333333333333335,2.3333333333333335,3.75,3.5,Wiry; Smooth; Double,Short; Medium,Medium Popularity
Bull Terrier,2.6666666666666665,2.0,3.5,3.5,Smooth,Short,High Popularity
Bulldog,3.3333333333333335,3.0,3.5,3.0,Smooth,Short,High Popularity
Bullmastiff,3.3333333333333335,2.3333333333333335,3.5,3.25,Smooth,Short,High Popularity
Cairn Terrier,3.3333333333333335,1.6666666666666667,3.5,3.25,Wiry; Double,Medium,Medium Popularity
Canaan Dog,3.0,2.3333333333333335,3.25,3.75,Smooth; Double,Short,Low Popularity
