Breed,Group
Affenpinscher,Toy Group
Afghan Hound,Hound Group
Airedale Terrier,Terrier Group
Akita,Working Group
Alaskan Malamute,Working Group
American English Coonhound,Hound Group
American Eskimo Dog,Non-Sporting Group
American Foxhound,Hound Group
American Hairless Terrier,Terrier Group
American Staffordshire Terrier,Terrier Group
American Water Spaniel,Sporting Group
Anatolian Shepherd Dog,Working Group
Australian Cattle Dog,Herding Group
Australian Shepherd,Herding Group
Australian Terrier,Terrier Group
Azawakh,Hound Group
Barbet,Sporting Group
Basenji,Hound Group
Basset Hound,Hound Group
Beagle,Hound Group
Bearded Collie,Herding Group
Beauceron,Herding Group
Bedlington Terrier,Terrier Group
Belgian Laekenoi,Herding Group
Belgian Malinoi,Herding Group
Belgian Sheepdog,Herding Group
Belgian Tervuren,Herding Group
Bergamasco Sheepdog,Herding Group
Berger Picard,Herding Group
Bernese Mountain Dog,Working Group
Bichon Frise,Non-Sporting Group
Biewer Terrier,Toy Group
Black Russian Terrier,Working Group
Black and Tan Coonhound,Hound Group
Bloodhound,Hound Group
Bluetick Coonhound,Hound Group
Boerboel,Working Group
Border Collie,Herding Group
Border Terrier,Terrier Group
Borzoi,Hound Group
Boston Terrier,Non-Sporting Group
Bouvier des Flandre,Herding Group
Boxer,Working Group
Boykin Spaniel,Sporting Group
Bracco Italiano,Sporting Group
Briard,Herding Group
Brittany,Sporting Group
Brussels Griffon,Toy Group
Bull Terrier,Terrier Group
Bulldog,Non-Sporting Group
Bullmastiff,Working Group
Cairn Terrier,Terrier Group
Canaan Dog,Herding Group
Cane Corso,Working Group
Cardigan Welsh Corgi,Herding Group
Cavalier King Charles Spaniel,Toy Group
Cesky Terrier,Terrier Group
Chesapeake Bay Retriever,Sporting Group
Chihuahua,Toy Group
Chinese Crested,Toy Group
Chinese Shar-Pei,Non-Sporting Group
Chinook,Working Group
Chow Chow,Non-Sporting Group
Cirneco dell’Etna,Hound Group
Clumber Spaniel,Sporting Group
Cocker Spaniel,Sporting Group
Collie,Herding Group
Coton de Tulear,Non-Sporting Group
Curly-Coated Retriever,Sporting Group
Dachshund,Hound Group
Dalmatian,Non-Sporting Group
Dandie Dinmont Terrier,Terrier Group
Danish-Swedish Farmdog,Working Group
Doberman Pinscher,Working Group
Dogo Argentino,Working Group
Dogue de Bordeaux,Working Group
English Cocker Spaniel,Sporting Group
English Foxhound,Hound Group
English Setter,Sporting Group
English Springer Spaniel,Sporting Group
English Toy Spaniel,Toy Group
Entlebucher Mountain Dog,Herding Group
Field Spaniel,Sporting Group
Finnish Lapphund,Herding Group
Finnish Spitz,Non-Sporting Group
Flat-Coated Retriever,Sporting Group
French Bulldog,Non-Sporting Group
German Pinscher,Working Group
German Shepherd Dog,Herding Group
German Shorthaired Pointer,Sporting Group
German Wirehaired Pointer,Sporting Group
Giant Schnauzer,Working Group
Glen of Imaal Terrier,Terrier Group
Golden Retriever,Sporting Group
Gordon Setter,Sporting Group
Grand Basset Griffon Vendéen,Hound Group
Great Dane,Working Group
Great Pyrenee,Working Group
Greater Swiss Mountain Dog,Working Group
Greyhound,Hound Group
Harrier,Hound Group
Havanese,Toy Group
Ibizan Hound,Hound Group
Icelandic Sheepdog,Herding Group
Irish Red and White Setter,Sporting Group
Irish Setter,Sporting Group
Irish Terrier,Terrier Group
Irish Water Spaniel,Sporting Group
Irish Wolfhound,Hound Group
Italian Greyhound,Toy Group
Japanese Chin,Toy Group
Keeshond,Non-Sporting Group
Kerry Blue Terrier,Terrier Group
Komondor,Working Group
Kuvasz,Working Group
Labrador Retriever,Sporting Group
Lagotto Romagnolo,Sporting Group
Lakeland Terrier,Terrier Group
Lancashire Heeler,Herding Group
Leonberger,Working Group
Lhasa Apso,Non-Sporting Group
Lowchen,Non-Sporting Group
Maltese,Toy Group
Manchester Terrier,Terrier Group
Mastiff,Working Group
Miniature American Shepherd,Herding Group
Miniature Bull Terrier,Terrier Group
Miniature Pinscher,Toy Group
Miniature Schnauzer,Terrier Group
Mudi,Herding Group
Neapolitan Mastiff,Working Group
Nederlandse Kooikerhondje,Sporting Group
Newfoundland,Working Group
Norfolk Terrier,Terrier Group
Norwegian Buhund,Herding Group
Norwegian Elkhound,Hound Group
Norwegian Lundehund,Non-Sporting Group
Norwich Terrier,Terrier Group
Nova Scotia Duck Tolling Retriever,Sporting Group
Old English Sheepdog,Herding Group
Otterhound,Hound Group
Papillon,Toy Group
Parson Russell Terrier,Terrier Group
Pekingese,Toy Group
Pembroke Welsh Corgi,Herding Group
Petit Basset Griffon Vendéen,Hound Group
Pharaoh Hound,Hound Group
Plott Hound,Hound Group
Pointer,Sporting Group
Polish Lowland Sheepdog,Herding Group
Pomeranian,Toy Group
Poodle,Non-Sporting Group
Portuguese Podengo Pequeno,Hound Group
Portuguese Water Dog,Working Group
Pug,Toy Group
Puli,Herding Group
Pumi,Herding Group
Pyrenean Shepherd,Herding Group
Rat Terrier,Terrier Group
Redbone Coonhound,Hound Group
Rhodesian Ridgeback,Hound Group
Rottweiler,Working Group
Russell Terrier,Terrier Group
Russian Toy,Toy Group
Saint Bernard,Working Group
Saluki,Hound Group
Samoyed,Working Group
Schipperke,Non-Sporting Group
Scottish Deerhound,Hound Group
Scottish Terrier,Terrier Group
Sealyham Terrier,Terrier Group
Shetland Sheepdog,Herding Group
Shiba Inu,Non-Sporting Group
Shih Tzu,Toy Group
Siberian Husky,Working Group
Silky Terrier,Toy Group
Skye Terrier,Terrier Group
Sloughi,Hound Group
Smooth Fox Terrier,Terrier Group
Soft Coated Wheaten Terrier,Terrier Group
Spanish Water Dog,Herding Group
Spinone Italiano,Sporting Group
Staffordshire Bull Terrier,Terrier Group
Standard Schnauzer,Working Group
Sussex Spaniel,Sporting Group
Swedish Vallhund,Herding Group
Tibetan Mastiff,Working Group
Tibetan Spaniel,Non-Sporting Group
Tibetan Terrier,Non-Sporting Group
Toy Fox Terrier,Toy Group
Treeing Walker Coonhound,Hound Group
Vizsla,Sporting Group
Weimaraner,Sporting Group
Welsh Springer Spaniel,Sporting Group
Welsh Terrier,Terrier Group
West Highland White Terrier,Terrier Group
Whippet,Hound Group
Wire Fox Terrier,Terrier Group
Wirehaired Pointing Griffon,Sporting Group
Wirehaired Vizsla,Sporting Group
Xoloitzcuintli,Non-Sporting Group
Yorkshire Terrier,Toy Group
