Breed,Family Life,Physical,Social,Personality,Coat Type,Coat Length,Average Rank,Popularity Tier
-1,0,0,0,0,28,6,198,3
Popularity Tier,,,,,,,,
Affenpinscher,3.0,2.3333333333333335,3.75,3.0,Wiry,Short; Medium,151.23076923076923,Low Popularity
Afghan Hound,3.0,2.0,3.0,2.75,Silky,Long,108.92307692307692,Medium Popularity
Airedale Terrier,3.0,1.6666666666666667,3.5,3.0,Wiry,Short; Medium,60.53846153846154,Medium Popularity
Akita,2.3333333333333335,2.3333333333333335,3.25,3.0,Double,Medium,50.61538461538461,Medium Popularity
Alaskan Malamute,3.0,2.3333333333333335,3.25,3.75,Double,Medium,64.38461538461539,Medium Popularity
American English Coonhound,3.6666666666666665,1.3333333333333333,3.0,3.5,Smooth,Short,173.07692307692307,Low Popularity
American Eskimo Dog,4.333333333333333,2.3333333333333335,3.75,3.5,Double,Medium,120.38461538461539,Medium Popularity
American Foxhound,4.333333333333333,1.6666666666666667,3.0,3.75,Smooth,Short,187.3846153846154,Low Popularity
American Hairless Terrier,4.333333333333333,1.0,3.5,3.5,Hairless,Short,122.3,Medium Popularity
American Staffordshire Terrier,3.6666666666666665,1.3333333333333333,3.75,3.0,Smooth,Short,83.92307692307692,Medium Popularity
American Water Spaniel,3.0,1.6666666666666667,3.0,3.5,Double; Curly,Medium,162.84615384615384,Low Popularity
Anatolian Shepherd Dog,2.3333333333333335,2.0,3.0,2.75,Smooth,Short,87.92307692307692,Medium Popularity
Australian Cattle Dog,3.0,1.6666666666666667,3.25,3.5,Smooth; Double,Short,53.07692307692308,Medium Popularity
Australian Shepherd,3.6666666666666665,2.0,3.25,4.5,Double,Medium,14.615384615384615,High Popularity
Australian Terrier,4.0,1.3333333333333333,3.5,3.25,Rough; Double,Medium,140.6153846153846,Low Popularity
Azawakh,3.0,1.6666666666666667,2.5,2.25,Smooth,Short,192.42857142857142,Low Popularity
Barbet,3.3333333333333335,2.3333333333333335,3.0,3.25,Curly; Wavy,Medium; Long,134.57142857142858,Low Popularity
Basenji,3.0,1.3333333333333333,3.0,2.75,Smooth,Short,86.3076923076923,Medium Popularity
Basset Hound,4.333333333333333,3.0,3.0,3.0,Smooth,Short,37.30769230769231,High Popularity
Beagle,4.333333333333333,2.0,3.25,3.75,Smooth,Short,6.3076923076923075,High Popularity
Bearded Collie,4.666666666666667,2.6666666666666665,3.75,3.75,Silky,Long,130.30769230769232,Low Popularity
Beauceron,3.0,2.6666666666666665,3.0,3.5,Smooth; Double,Short,125.46153846153847,Low Popularity
Bedlington Terrier,3.0,1.6666666666666667,3.25,3.25,Curly,Medium,143.23076923076923,Low Popularity
Belgian Laekenoi,3.0,2.0,3.25,4.0,Wiry; Rough,Medium,194.0,Low Popularity
Belgian Malinoi,3.0,2.0,3.25,4.0,Smooth,Short,42.23076923076923,High Popularity
Belgian Sheepdog,3.0,2.0,3.25,4.0,Double,Medium,123.84615384615384,Medium Popularity
Belgian Tervuren,3.0,2.0,3.25,4.0,Double,Medium,105.6923076923077,Medium Popularity
Bergamasco Sheepdog,3.0,1.3333333333333333,3.25,2.5,Corded,Long,175.5,Low Popularity
Berger Picard,3.0,1.6666666666666667,3.25,3.5,Wiry,Medium,153.5,Low Popularity
Bernese Mountain Dog,5.0,3.6666666666666665,3.75,3.5,Double,Medium,24.153846153846153,High Popularity
Bichon Frise,5.0,2.3333333333333335,3.75,3.5,Double; Curly,Long,45.07692307692308,High Popularity
Biewer Terrier,4.333333333333333,1.6666666666666667,3.0,3.0,Silky,Long,76.2,Medium Popularity
Black Russian Terrier,3.0,3.3333333333333335,3.5,3.75,Double; Curly,Medium; Long,124.61538461538461,Medium Popularity
Black and Tan Coonhound,4.666666666666667,2.6666666666666665,3.0,3.25,Smooth,Short,133.92307692307693,Low Popularity
Bloodhound,3.3333333333333335,3.3333333333333335,2.75,3.75,Smooth,Short,51.15384615384615,Medium Popularity
Bluetick Coonhound,3.6666666666666665,2.3333333333333335,2.75,3.75,Smooth,Short,132.46153846153845,Low Popularity
Boerboel,3.6666666666666665,2.6666666666666665,3.5,3.5,Smooth,Short,116.91666666666667,Medium Popularity
Border Collie,3.6666666666666665,2.3333333333333335,4.25,4.75,Double; Wavy,Medium,34.30769230769231,High Popularity
Border Terrier,4.0,1.6666666666666667,3.75,3.25,Wiry,Short,89.61538461538461,Medium Popularity
Borzoi,3.0,2.0,3.0,3.0,Curly; Silky,Medium,100.76923076923077,Medium Popularity
Boston Terrier,4.666666666666667,1.6666666666666667,4.0,3.25,Smooth,Short,22.23076923076923,High Popularity
Bouvier des Flandre,3.0,3.0,3.25,3.5,Rough; Double,Medium,91.07692307692308,Medium Popularity
Boxer,4.0,2.3333333333333335,3.75,3.75,Smooth,Short,12.923076923076923,High Popularity
Boykin Spaniel,4.333333333333333,2.3333333333333335,3.5,3.5,Double; Wavy,Medium,92.07692307692308,Medium Popularity
Bracco Italiano,3.6666666666666665,1.6666666666666667,3.0,3.5,Smooth,Short,140.0,Low Popularity
Briard,3.0,2.3333333333333335,3.25,2.5,Double; Wavy,Long,141.15384615384616,Low Popularity
Brittany,3.6666666666666665,2.3333333333333335,3.25,4.25,Double; Wavy,Short,27.615384615384617,High Popularity
Brussels Griffon,3.3333333333333335,2.3333333333333335,3.75,3.5,Wiry; Smooth; Double,Short; Medium,92.15384615384616,Medium Popularity
Bull Terrier,2.6666666666666665,2.0,3.5,3.5,Smooth,Short,62.53846153846154,Medium Popularity
Bulldog,3.3333333333333335,3.0,3.5,3.0,Smooth,Short,5.769230769230769,High Popularity
