Breed,Affectionate With Family,Good With Young Children,Good With Other Dogs,Shedding Level,Coat Grooming Frequency,Drooling Level,Openness To Strangers,Playfulness Level,Watchdog/Protective Nature,Adaptability Level,Trainability Level,Energy Level,Barking Level,Mental Stimulation Needs,Coat Type,Coat Length,Popularity Tier
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,6,3
Popularity Tier,,,,,,,,,,,,,,,,,
Affenpinscher,3,3,3,3,3,1,5,3,3,4,3,3,3,3,Wiry,Short; Medium,Low Popularity
Afghan Hound,3,3,3,1,4,1,3,3,3,3,1,4,3,3,Silky,Long,Medium Popularity
Airedale Terrier,3,3,3,1,3,1,3,3,5,3,3,3,3,3,Wiry,Short; Medium,Medium Popularity
Akita,3,3,1,3,3,1,2,3,5,3,3,4,2,3,Double,Medium,Medium Popularity
Alaskan Malamute,3,3,3,3,3,1,3,3,4,3,5,4,3,3,Double,Medium,Medium Popularity
American English Coonhound,3,3,5,2,1,1,3,3,3,3,3,4,4,3,Smooth,Short,Low Popularity
American Eskimo Dog,5,5,3,3,3,1,5,3,3,4,4,4,3,3,Double,Medium,Medium Popularity
American Foxhound,3,5,5,3,1,1,3,3,3,3,3,4,5,3,Smooth,Short,Low Popularity
American Hairless Terrier,5,5,3,1,1,1,3,3,3,5,5,3,3,3,Hairless,Short,Medium Popularity
American Staffordshire Terrier,5,3,3,2,1,1,4,3,5,3,3,3,3,3,Smooth,Short,Medium Popularity
American Water Spaniel,3,3,3,1,3,1,3,3,3,3,5,3,3,3,Double; Curly,Medium,Low Popularity
Anatolian Shepherd Dog,1,3,3,3,2,1,1,3,5,3,2,3,3,3,Smooth,Short,Medium Popularity
Australian Cattle Dog,3,3,3,3,1,1,3,3,4,3,4,5,1,4,Smooth; Double,Short,Medium Popularity
Australian Shepherd,3,5,3,3,2,1,3,4,3,3,5,5,3,5,Double,Medium,High Popularity
Australian Terrier,4,5,3,1,2,1,3,3,4,4,4,3,3,3,Rough; Double,Medium,Low Popularity
Azawakh,3,3,3,2,2,1,1,3,3,3,2,3,1,3,Smooth,Short,Low Popularity
