Breed,Group,2013 Rank,2014 Rank,2015 Rank,2016 Rank,2017 Rank,2018 Rank,2019 Rank,2020 Rank,2021 Rank,2022 Rank,2023 Rank,2024 Rank,2025 Rank,links,Affectionate With Family,Good With Young Children,Good With Other Dogs,Shedding Level,Coat Grooming Frequency,Drooling Level,Coat Type,Coat Length,Openness To Strangers,Playfulness Level,Watchdog/Protective Nature,Adaptability Level,Trainability Level,Energy Level,Barking Level,Mental Stimulation Needs
Affenpinscher,Toy Group,143,144,136,149,147,148,152,163,159,148,162,162,153,"""""""https://www.akc.org/dog-breeds/affenpinscher/""""""",3,3,3,3,3,1,Wiry,Short; Medium,5,3,3,4,3,3,3,3
Afghan Hound,Hound Group,95,98,100,113,93,113,113,122,114,117,111,110,117,https://www.akc.org/dog-breeds/afghan-hound/,3,3,3,1,4,1,Silky,Long,3,3,3,3,1,4,3,3
Airedale Terrier,Terrier Group,56,57,53,55,55,60,61,62,62,65,67,64,70,https://www.akc.org/dog-breeds/airedale-terrier/,3,3,3,1,3,1,Wiry,Short; Medium,3,3,5,3,3,3,3,3
Akita,Working Group,45,46,46,46,47,47,47,48,52,55,58,59,62,https://www.akc.org/dog-breeds/akita/,3,3,1,3,3,1,Double,Medium,2,3,5,3,3,4,2,3
Alaskan Malamute,Working Group,57,54,54,59,59,58,65,65,68,67,71,79,81,https://www.akc.org/dog-breeds/alaskan-malamute/,3,3,3,3,3,1,Double,Medium,3,3,4,3,5,4,3,3
American English Coonhound,Hound Group,146,156,166,170,178,175,177,185,184,182,178,171,182,https://www.akc.org/dog-breeds/american-english-coonhound/,3,3,5,2,1,1,Smooth,Short,3,3,3,3,3,4,4,3
American Eskimo Dog,Non-Sporting Group,110,120,118,122,118,122,122,119,122,123,129,116,124,https://www.akc.org/dog-breeds/american-eskimo-dog/,5,5,3,3,3,1,Double,Medium,5,3,3,4,4,4,3,3
American Foxhound,Hound Group,176,180,181,189,187,186,191,192,195,196,182,193,188,https://www.akc.org/dog-breeds/american-foxhound/,3,5,5,3,1,1,Smooth,Short,3,3,3,3,3,4,5,3
American Hairless Terrier,Terrier Group,NA,NA,NA,106,126,136,126,129,135,120,112,125,108,https://www.akc.org/dog-breeds/american-hairless-terrier/,5,5,3,1,1,1,Hairless,Short,3,3,3,5,5,3,3,3
American Staffordshire Terrier,Terrier Group,76,84,77,81,83,85,86,82,81,87,95,77,97,https://www.akc.org/dog-breeds/american-staffordshire-terrier/,5,3,3,2,1,1,Smooth,Short,4,3,5,3,3,3,3,3
American Water Spaniel,Sporting Group,144,160,157,156,167,166,166,158,166,166,168,167,176,https://www.akc.org/dog-breeds/american-water-spaniel/,3,3,3,1,3,1,Double; Curly,Medium,3,3,3,3,5,3,3,3
